"Name","Funding","City","Time of Techstar"
"AccelGolf","$240,000","Boston","2009 Spring"
"Accountable","$110,000","Austin","2013 Fall"
"AdsNative","$2,620,000","Boulder","2013 Summer"
"ADstruc","$4,610,000","Boulder","2010 Summer"
"AdYapper","$2,260,000","NYC","2013 Spring"
"Aire","$20,000","Barclays",2014
"Airpost","$210,000","Microsoft Azure",2013
"AkibaH","$120,000","Sprint",2014
"All4Staff","$1,500,000","Boulder","2014 Summer"
"Ambassador","$10,000","NYC","2011 Summer"
"Amino","$2,130,000","Boston","2014 Winter"
"AmpIdea","$10,000","Boston","2009 Spring"
"Appetas","$120,000","Microsoft Azure",2012
"Application Experts","$10,000","Bouler","2008 Summer"
"Appsembler","$110,000","Cloud","2012 Winter"
"AppSheet","$530,000","Microsoft Azure",2013
"Apptentive","$6,720,000","Seattle","2012 Fall"
"Atlas","$1,180,000","Austin","2013 Fall"
"Atlas5D","$690,000","Microsoft Kinect",2012
"Augur","$110,000","Boulder","2013 Summer"
"Avuba","$20,000","London","2014 Spring"
"Azuqua","$5,560,000","Microsoft Azure",2013
"BagsUp","$20,000","Microsoft Azure",2012
"Bawte","$110,000","Boulder","2014 Summer"
"Baydin","$410,000","Boston","2009 Spring"
"BeehiveID","$70,000","Microsoft Azure",2013
"Bench","$7,370,000","NYC","2012 Summer"
"BirdBox","$980,000","Boulder","2012 Summer"
"Bison","$1,980,000","Boston","2012 Spring"
"Bizible Marketing Analytics","$10,610,000","Seattle","2012 Fall"
"Bluebox Now","$10,000","Seattle","2011 Fall"
"Bondsy","$760,000","NYC","2012 Summer"
"BookingMarkets","$920,000","Boston","2012 Fall"
"Boxella","$20,000","Microsoft Azure",2013
"Branching Minds","$170,000","Kaplan",2014
"Brandfolder","$430,000","Boulder","2013 Summer"
"Brewbot","$1,510,000","Austin","2014 Summer"
"Brightkite","$1,090,000","Boulder","2007 Summer"
"BriteHub","$750,000","Boulder","2013 Summer"
"BuildersCloud","$1,170,000","Microsoft Azure",2013
"Burpy","$190,000","Austin","2014 Summer"
"Buy Play Win","$10,000","Bouler","2008 Summer"
"Cangrade","$430,000","Boston","2014 Winter"
"Captimo","$10,000","Boulder","2010 Summer"
"CaptureProof","$1,210,000","Chicago","2013 Spring"
"Careport Health","$1,650,000","Boston","2012 Fall"
"CartCrunch","$1,070,000","Boston","2012 Fall"
"Change Collective","$1,490,000","Boston","2014 Winter"
"ChatID","$6,660,000","NYC","2011 Summer"
"CheckIO","$720,000","Boston","2013 Spring"
"ChoreMonster","$2,290,000","Disney",2014
"Chroma Games","$20,000","Nike+ Accelerator",2013
"Clarify","$580,000","London","2013 Fall"
"ClassPass","$14,110,000","NYC","2012 Summer"
"ClassWallet","$170,000","Kaplan",2014
"ClauseMatch","$190,000","Barclays",2014
"Cloud 66","$950,000","Austin","2014 Summer"
"Cloudability","$9,960,000","Cloud","2012 Winter"
"CloudOptions","$10,000","Cloud","2013 Winter"
"Cloudsnap","$310,000","Cloud","2012 Winter"
"Clutch Prep","$110,000","Chicago","2014 Spring"
