"Name","URL","Class","Status","Description"
"AccelGolf","www.accelgolf.com",,"Acquired","AccelGolf was a golf analytics and improvement platform that enabled users to aggregate and analyze real-time performance data. - See more at: http://www.crunchbase.com/organization/accelgolf#sthash.d1fFC42P.dpuf"
"Accountable","www.accountablehq.com",,"Active","Accountable offers secure, online HIPAA compliance management tools that keep your business legal. From Employee training to Business Associate Agreements, HIPAA can get pretty confusing."
"AdsNative","http://adsnative.com/",,"Active","AdsNative is a content ad server with suite of tools for publishers to monetize premium native advertising easily and at scale on mobile. Think of us as DoubleClick for native advertising. We are taking the style of advertising by Facebook (sponsored story ads) and applying it to the rest of the web."
"ADstruc","http://www.adstruc.com",,"Active","Tech platform for outdoor advertising"
"AdYapper","www.adyapper.com",,"Active","Real Time Ad Viewabiity Measurement & Optimization, Yielding 2x-5x Results on Same Media Spend."
"Aire","http://www.aire.io/",,"Active","Aire enables fair access to financial products. We provide an alternate credit score for people who are incorrectly classified because they have no credit history. The entire architecture of modern finance relies on credit scores - and yet only 30% of the world is scored. We have built an alternate credit score that is based on data supplied directly by consumers to us. Our mission is to help people who are being incorrectly classified as a bad credit risk, to get access to financial products that depend on a credit check. We are an experienced team of serial entrepreneurs having previously built credit and behaviour prediction algorithms."
"Airpost","http://airpost.io/",,"Active","The Airpost Cloud Compliance Control System (C3) is a cloud security dashboard and activity monitor that provides visibility into what consumer cloud/web applications are being used by your employees, and take direct action based on intelligence provided. With Airpost, companies can prevent compliance violations by implementing security, awareness and usage policies optimized for their business, while empowering employees to be productive. We believe in enabling the cloud, safely."
"AkibaH","http://akibah.com/",,"Active","Our patent-pending technology enables people with diabetes to live their lives untethered to bulky glucose meter kits. AkibaH incorporates everything you need to track and measure your blood sugar in a discreet and easy to use smartphone case. We make the process of measuring your blood sugar as easy and discreet as checking your email. We also let you share your contextualized readings in real time with your care team so they can help you stay on top of your health."
"All4Staff","https://all4staff.com/",,"Active","All4Staff simplifies the HR process by providing a 100% digital onboarding solution. Get rid of paperwork and give your new hires a better first day."
"Ambassador","https://getambassador.com/",,"Active","Use Ambassador to easily create, track & manage custom incentives that drive referrals and evangelize your users. It's as simple as pasting a javascript snippet or can be seamlessly integrated via API. Join hundreds of SaaS, ecommerce and brands leveraging the Ambassador platform, including: T-Mobile, The American Marketing Association, SendGrid, Hightail, Volusion, Livescribe, and Contour. Integrate Ambassador into the existing applications you already use, including Salesforce, Sendgrid, MailChimp, Sailthru, PayPal and Dwolla."
"Amino","http://aminoapps.com/",,"Active","Express yourself, discover new friends and discuss your passion with like-minded people."
"AmpIdea","http://ampidea.com/",,"Failed","AmpIdea provides a web-enabled baby monitoring as a platform for delivery of various services such as video monitoring, sleep tracking and analysis, statistical comparison, music streaming, and even an integrated baby encyclopedia (Baby 411) which suggests techniques to soothe sleeping babies based on age. While they’re at it, they’re using wifi as the delivery mechanism for audio and video monitoring, which eliminates the static and range issues that plagues traditional baby monitors. For new parents money is no issue when it comes to safety and a good night’s sleep. The sleep scheduling monitor keeps a record of when the baby is sleeping and waking up over time. This helps the parents schedule when to put the baby down for naps and night time sleep. AmpIdea sells the monitor hardware and charges for additional services."
