"Name","Last Name","First Name","LinkedIn Profile","Remarks"
"AccelGolf","Mayhew","Sky","www.linkedin.com/in/skymayhew",
"AccelGolf","Daniels ","James","www.linkedin.com/in/jamesdaniels",
"Accountable","Henry ","Kevin","www.linkedin.com/in/kevinleehenry",
"AdsNative","Kapade","Kuldeep","www.linkedin.com/in/kuldeepkapade",
"AdsNative","Mujumbar","Dhawal","www.linkedin.com/in/dhawalm",
"ADstruc","Warrum","Josh","www.linkedin.com/pub/josh-warrum/5/284/482",
"ADstruc","Laramie","John","www.linkedin.com/in/johnlaramie",
"AdYapper","Patel","Kal","www.linkedin.com/in/kalpatel1",
"AdYapper","Hirsch","Elliot","www.linkedin.com/in/elliotehirsch",
"AdYapper","Wietecha","Wojo","www.linkedin.com/in/wietecha",
"Aire","Bundy","John","uk.linkedin.com/in/jonbundy",
"Aire","Varma","Aneesh","uk.linkedin.com/in/aneeshvarma",
"Airpost","Karim","Alam","ca.linkedin.com/in/alamkarim",
"AkibaH","Abdelsalam","Fathi","www.linkedin.com/pub/fathi-abdelsalam/12/8a9/650",
"AkibaH","Jafferji","Mustaza","www.linkedin.com/in/jafferji",
"All4Staff","Secunda","David","www.linkedin.com/in/dsecunda",
"All4Staff","Nisnevich","Arthur","www.linkedin.com/in/arthurn",
"Ambassador","Epstein","Jeff","www.linkedin.com/in/epsteinjeffrey",
"Amino","Anderson","Benjamin","www.linkedin.com/pub/benjamin-anderson/14/b09/6aa",
"AmpIdea","Yerramilly","Sumant","www.linkedin.com/in/syerramilly",
"Appetas","Smith","Keller","www.linkedin.com/pub/keller-smith/41/788/509",
"Appetas","Fonger","Curtis","www.linkedin.com/in/cfonger",
"Application Experts","Kevin ","Kelly","link found but no link for profile.",
"Appsembler","Aune","Nate","www.linkedin.com/in/natea",
"AppSheet","Seshadri","Praveen","www.linkedin.com/in/praveenseshadri",
"AppSheet","Sabino","Brian","www.linkedin.com/in/briansa",
"Apptentive","Ganguly","Robi","www.linkedin.com/in/robiganguly",
"Apptentive","Kelsey","Sky","www.linkedin.com/in/skykelsey",
"Atlas","Kasparian","Mike","www.linkedin.com/pub/mike-kasparian/27/b1a/19b",
"Atlas5D","Rashid","Shahid","www.linkedin.com/in/shahidrashidsf",
"Augur","Alsafar","Nawar","www.linkedin.com/in/alsafar",
"Augur","Jimenez","Brandon","www.linkedin.com/in/jiminikiz",
"Avuba","Bruns","Wilken","de.linkedin.com/in/wilkenbruns/en",
"Avuba","Lukesch","Oliver","de.linkedin.com/in/oliverlukesch/en",
"Avuba","Piela","Jonas","de.linkedin.com/in/jonaspiela",
"Azuqua","Unger","Craig","www.linkedin.com/in/craigunger",
"Azuqua","Hasija","Nikhil","www.linkedin.com/in/nikhilhasija",
"BagsUp","Jones","Mark",,"no linkedIn found"
"Bawte","Jackovin","John","www.linkedin.com/in/jackovin",
"Baydin","Moah","Aye","www.linkedin.com/in/ayemoah",
"BeehiveID","Kilpatrick","Alex","www.linkedin.com/in/alexkilpatrick",
"Bench","Rodionov","Pavel","ca.linkedin.com/in/pavelrodionov",
"Bench","Saint","Adam","ca.linkedin.com/pub/adam-saint/8/226/510",
"BirdBox","Cawley","Kevin","www.linkedin.com/in/kcbigring",
"BirdBox","Nunez","Ben","www.linkedin.com/in/nunez",
"Bison","Goksor","Rasmus","www.linkedin.com/in/rasmusgoksor",
"Bizible Marketing Analytics","Bird","Aaron","www.linkedin.com/in/aaronbird",
"Bizible Marketing Analytics","Thompson","Peter","www.linkedin.com/in/peterathompson",
"Bluebox Now","n/a","n/a","n/a","no found"
"Bondsy","Zambrano","Diego","www.linkedin.com/in/zambrano",
"BookingMarkets","Brown","Page","www.linkedin.com/in/paigebrown",
"Boxella","Khandelwal","Vikas","www.linkedin.com/in/khandelwalvikas",
"Branching Minds","Gat ","Maya","www.linkedin.com/pub/maya-gat/16/bab/175",
"Branching Minds","Magier","David","www.linkedin.com/in/davidmagier",
"Brandfolder","Arterburn","Paul","www.linkedin.com/in/paularterburn",
"Brewbot","McClelland","Chris","www.linkedin.com/in/cmcclelland",
"Brewbot","Campbell","Jonny","uk.linkedin.com/pub/jonny-campbell/87/218/448",
"Brightkite","Virolainen","Juho-Pekka","fi.linkedin.com/in/jpvirolainen",
"Brightkite","Lawson","Rob","www.linkedin.com/in/roblawson",
"Brightkite","Becker","Brady","www.linkedin.com/in/bradybe",
"BriteHub","Ferlauto","Dorian","www.linkedin.com/pub/dorian-j-ferlauto/18/873/56",
"BuildersCloud","Novikov","Konstantin","www.linkedin.com/in/konstantinnovikov",
"Burpy","Ali","Aseem","www.linkedin.com/in/aseemali",
"Burpy","Momin","Azim","www.linkedin.com/pub/azim-momin/51/22b/a1b",
"Buy Play Win","n/a","n/a","n/a","no found"
"Cangrade","Lehr","Steve","www.linkedin.com/pub/steve-lehr/9/609/6b4",
"Cangrade","Goren","Gershon","www.linkedin.com/in/ggoren",
"Cangrade","Burtov","Michael","www.linkedin.com/in/burtov",
"Captimo","Bliss","John","www.linkedin.com/in/johnsbliss",
"CaptureProof","Conroy","Meghan","www.linkedin.com/pub/meghan-conroy/0/a97/281",
"Careport Health","Vivek","Garipalli","n/a","no link found"
"CartCrunch","Molad","Eyal","il.linkedin.com/in/eyalmolad",
"CartCrunch","Yair","Eyal","il.linkedin.com/in/eyalyair",
"CartCrunch","Ohevya","Elon","il.linkedin.com/in/eohevya",
"Change Collective","Haswell","Derek","www.linkedin.com/in/drhaswell",
"Change Collective","Rubin","Ben","www.linkedin.com/in/bsrubin",
"ChatID","Herman ","Dan","www.linkedin.com/pub/dan-herman/4/79a/a54",
"CheckIO","Avramenko","Liza","www.linkedin.com/in/lavramenko",
"CheckIO","Lyabah","Alexander","ua.linkedin.com/in/lyabah",
"ChoreMonster","Bergman","Chris","www.linkedin.com/in/chrismbergman",
"Chroma Games","Estes","Marcus","www.linkedin.com/in/popmechanic",
"Clarify","Rothschild","Ivo","ca.linkedin.com/pub/ivo-rothschild/3/405/8a4",
"Clarify","Murphy","Paul","www.linkedin.com/in/prmurphy",
"ClassPass","Kadakia","Payal","www.linkedin.com/pub/payal-kadakia/2/29/84",
"ClassPass","Biggins","Mary","www.linkedin.com/in/mbiggins",
"ClassWallet","Rosenberg","Jamie","www.linkedin.com/in/classwalletceo",
"ClauseMatch","Dijksa","Peter`","nl.linkedin.com/in/tradinglawyer",
"ClauseMatch","Likhoded","Evgeny","uk.linkedin.com/in/elikhoded",
"Cloud 66","Sajadi","Khash","uk.linkedin.com/in/ksajadi",
"Cloudability","Ellis","Mat","www.linkedin.com/in/matellis",
"Cloudability","Storment","J.R","www.linkedin.com/in/jrstorment",
"CloudOptions","Burow","Dave","www.linkedin.com/pub/dave-burow/14/863/b79",
"CloudOptions","Hicks","Joe","www.linkedin.com/in/hicksjoseph",
"Cloudsnap","Loretz","Colin","www.linkedin.com/in/colinloretz",
"Cloudsnap","Yoder","Chris","www.linkedin.com/in/yodasan",
"Clutch Prep","Fontaine","Alain","www.linkedin.com/in/alainfontaine",
"Clutch Prep","Velos","Artem","www.linkedin.com/in/artemvolos",
"Clutch Prep","Betancourt","Johnny","www.linkedin.com/in/johnnybetancourt",
"CoachBase","Rumjahn","Keith","hk.linkedin.com/in/rumjahn",
"CoachUp","Fliegel","Jordan","www.linkedin.com/in/jordanfliegel",
"CoachUp","Radmand","Arian","www.linkedin.com/in/arianradmand",
